legacy_asset	v10_asset	bytes	sha256	status
model.rules	../model.rules	11701	3ac8da903681ac829d5e6fe1f734ae44cbf1d6ef8beddabe4007d892ac384ae0	EXACT_EXISTING
model.rules.full	../model.rules	11701	3ac8da903681ac829d5e6fe1f734ae44cbf1d6ef8beddabe4007d892ac384ae0	EXACT_ALIAS
model.rules.v6.3.txt	model.rules.v6.3.txt	3982	1dae444a4caedbf68d28a333e8ec679daf235ce5eee2aa8a31fa7e21513f2534	RESTORED
model.types	model.types	5237	71813dafea08a95619453656b4bdb01ec7a239af4a59fe1321d6325cb05d300a	RESTORED
port.rules	../port.rules	5510	da54bf06c288a371e50fe16af8936b05df26dcdc2860901632893a7be716fea8	EXACT_EXISTING
port.b4	../port.rules	5510	da54bf06c288a371e50fe16af8936b05df26dcdc2860901632893a7be716fea8	EXACT_ALIAS
port.rules.huge	../port.rules	5510	da54bf06c288a371e50fe16af8936b05df26dcdc2860901632893a7be716fea8	EXACT_ALIAS
port.rules.small	port.rules.small	668	9ca61e2bdedf3c89b470e090213ab1feb307a20915545b7a9ffc00e739c55967	RESTORED
ports.all	ports.all	11	aec2c0b7742ad789e3ffbcdd51d0762a815938903ce054bbb87f0a55356cda5b	RESTORED
ports.count	ports.count	3447	ad727d5b828eb0de28791574fedeb057f82ad91951851d0127beb1ea261c28e3	RESTORED
